#K-Path      Energy-Level
# NKPTS & NBANDS: 120 126
# Band-Index    1
   0.00000    -19.043788
   0.00749    -19.043646
   0.01498    -19.043226
   0.02247    -19.042524
   0.02996    -19.041548
   0.03744    -19.040288
   0.04493    -19.038750
   0.05242    -19.036933
   0.05991    -19.034836
   0.06740    -19.032460
   0.07489    -19.029809
   0.08238    -19.026882
   0.08987    -19.023677
   0.09735    -19.020196
   0.10484    -19.016438
   0.11233    -19.012406
   0.11982    -19.008099
   0.12731    -19.003522
   0.13480    -18.998675
   0.14229    -18.993558
   0.14978    -18.988170
   0.15726    -18.982516
   0.16475    -18.976597
   0.17224    -18.970412
   0.17973    -18.963965
   0.18722    -18.957260
   0.19471    -18.950299
   0.20220    -18.943086
   0.20969    -18.935629
   0.21718    -18.927933
   0.22466    -18.920003
   0.23215    -18.911851
   0.23964    -18.903492
   0.24713    -18.894950
   0.25462    -18.886260
   0.26211    -18.877495
   0.26960    -18.868798
   0.27709    -18.860504
   0.28457    -18.853562
   0.29206    -18.850484
   0.29206    -18.850484
   0.29639    -18.850443
   0.30071    -18.850318
   0.30503    -18.850113
   0.30936    -18.849820
   0.31368    -18.849450
   0.31800    -18.848996
   0.32233    -18.848460
   0.32665    -18.847845
   0.33098    -18.847142
   0.33530    -18.846359
   0.33962    -18.845494
   0.34395    -18.844548
   0.34827    -18.843520
   0.35259    -18.842410
   0.35692    -18.841219
   0.36124    -18.839947
   0.36557    -18.838594
   0.36989    -18.837162
   0.37421    -18.835649
   0.37854    -18.834053
   0.38286    -18.832382
   0.38718    -18.830631
   0.39151    -18.828799
   0.39583    -18.826887
   0.40015    -18.824899
   0.40448    -18.822831
   0.40880    -18.820687
   0.41313    -18.818464
   0.41745    -18.816164
   0.42177    -18.813789
   0.42610    -18.811338
   0.43042    -18.808812
   0.43474    -18.806213
   0.43907    -18.803538
   0.44339    -18.800798
   0.44771    -18.797980
   0.45204    -18.795096
   0.45636    -18.792161
   0.46069    -18.789733
   0.46069    -18.789733
   0.46933    -18.796343
   0.47798    -18.805390
   0.48663    -18.815493
   0.49527    -18.826150
   0.50392    -18.837052
   0.51257    -18.848005
   0.52122    -18.858893
   0.52986    -18.869635
   0.53851    -18.880181
   0.54716    -18.890491
   0.55581    -18.900543
   0.56445    -18.910312
   0.57310    -18.919779
   0.58175    -18.928942
   0.59040    -18.937784
   0.59904    -18.946299
   0.60769    -18.954479
   0.61634    -18.962321
   0.62498    -18.969812
   0.63363    -18.976959
   0.64228    -18.983753
   0.65093    -18.990194
   0.65957    -18.996278
   0.66822    -19.002002
   0.67687    -19.007365
   0.68552    -19.012364
   0.69416    -19.016997
   0.70281    -19.021264
   0.71146    -19.025163
   0.72011    -19.028693
   0.72875    -19.031855
   0.73740    -19.034651
   0.74605    -19.037072
   0.75469    -19.039121
   0.76334    -19.040799
   0.77199    -19.042108
   0.78064    -19.043039
   0.78928    -19.043599
   0.79793    -19.043788
 
 
# Band-Index    2
   0.79793    -18.521901
   0.78928    -18.522231
   0.78064    -18.523223
   0.77199    -18.524873
   0.76334    -18.527180
   0.75469    -18.530136
   0.74605    -18.533731
   0.73740    -18.537949
   0.72875    -18.542769
   0.72011    -18.548167
   0.71146    -18.554114
   0.70281    -18.560569
   0.69416    -18.567499
   0.68552    -18.574857
   0.67687    -18.582598
   0.66822    -18.590675
   0.65957    -18.599040
   0.65093    -18.607644
   0.64228    -18.616443
   0.63363    -18.625398
   0.62498    -18.634451
   0.61634    -18.643579
   0.60769    -18.652736
   0.59904    -18.661888
   0.59040    -18.671006
   0.58175    -18.680067
   0.57310    -18.689037
   0.56445    -18.697890
   0.55581    -18.706611
   0.54716    -18.715184
   0.53851    -18.723583
   0.52986    -18.731793
   0.52122    -18.739805
   0.51257    -18.747597
   0.50392    -18.755166
   0.49527    -18.762491
   0.48663    -18.769569
   0.47798    -18.776384
   0.46933    -18.782926
   0.46069    -18.788497
   0.46069    -18.788497
