      #Energy        TDOS
     -20.41340       0.00000
     -20.38340       0.00000
     -20.35340       0.00000
     -20.32340       0.00000
     -20.29340       0.00000
     -20.26240       0.00000
     -20.23240       0.00000
     -20.20240       0.00000
     -20.17240       0.00000
     -20.14240       0.00000
     -20.11240       0.00000
     -20.08140       0.00000
     -20.05140       0.00000
     -20.02140       0.00000
     -19.99140       0.00000
     -19.96140       0.00000
     -19.93140       0.00000
     -19.90040       0.00000
     -19.87040       0.00000
     -19.84040       0.00000
     -19.81040       0.00000
     -19.78040       0.00000
     -19.75040       0.00000
     -19.71940       0.00000
     -19.68940       0.00000
     -19.65940       0.00000
     -19.62940       0.00000
     -19.59940       0.00000
     -19.56940       0.00000
     -19.53840       0.00000
     -19.50840       0.00000
     -19.47840       0.00000
     -19.44840       0.00000
     -19.41840       0.00000
     -19.38840       0.00000
     -19.35740       0.00000
     -19.32740       0.00000
     -19.29740       0.00000
     -19.26740       0.00000
     -19.23740       0.00000
     -19.20740       0.00001
     -19.17640       0.00063
     -19.14640       0.01466
     -19.11640       0.17320
     -19.08640       1.06100
     -19.05640       3.46200
     -19.02640       6.32900
     -18.99540       7.16300
     -18.96540       6.04300
     -18.93540       4.86000
     -18.90540       4.66100
     -18.87540       6.44000
     -18.84540      10.83000
     -18.81440      15.33000
     -18.78440      15.52000
     -18.75440      11.53000
     -18.72440       8.29800
     -18.69440       7.81500
     -18.66440       7.95700
     -18.63340       7.75600
     -18.60340       7.87000
     -18.57340       8.92300
     -18.54340      10.77000
     -18.51340      11.33000
     -18.48340       8.83400
     -18.45240       5.37000
     -18.42240       3.35200
     -18.39240       2.59200
     -18.36240       2.32100
     -18.33240       2.44000
     -18.30240       3.61100
     -18.27140       6.40000
     -18.24140       9.59400
     -18.21140      11.87000
     -18.18140      12.89000
     -18.15140      11.41000
     -18.12140       8.35400
     -18.09040       6.39500
     -18.06040       5.93200
     -18.03040       6.26800
     -18.00040       7.22500
     -17.97040       9.01600
     -17.94040      11.66000
     -17.90940      13.49000
     -17.87940      12.61000
     -17.84940      10.36000
     -17.81940       8.83000
     -17.78940       8.23800
     -17.75940       8.22200
     -17.72840       8.56100
     -17.69840       8.67300
     -17.66840       7.86900
     -17.63840       6.67400
     -17.60840       6.70000
     -17.57840       9.20100
     -17.54740      13.27000
     -17.51740      15.68000
     -17.48740      13.87000
     -17.45740       8.35900
     -17.42740       3.07500
     -17.39740       0.63760
     -17.36640       0.07125
     -17.33640       0.00439
     -17.30640       0.00605
     -17.27640       0.08531
     -17.24640       0.63710
     -17.21640       2.54000
     -17.18540       5.66900
     -17.15540       7.68000
     -17.12540       7.28200
     -17.09540       5.93800
     -17.06540       5.01200
     -17.03540       4.71100
     -17.00440       5.02900
     -16.97440       6.46500
     -16.94440       9.17000
     -16.91440      10.48000
     -16.88440       8.30100
     -16.85440       5.37000
     -16.82340       4.06700
     -16.79340       3.84200
     -16.76340       3.85800
     -16.73340       3.84700
     -16.70340       3.80000
     -16.67240       3.88000
     -16.64240       4.67100
     -16.61240       6.97000
     -16.58240      10.10000
     -16.55240      12.18000
     -16.52240      12.84000
     -16.49140      12.33000
     -16.46140      10.99000
     -16.43140       9.47600
     -16.40140       8.11100
     -16.37140       7.21800
     -16.34140       7.19600
     -16.31040       8.59400
     -16.28040      11.07000
     -16.25040      12.41000
     -16.22040      11.79000
     -16.19040      11.20000
     -16.16040      11.54000
     -16.12940      11.50000
     -16.09940      10.25000
     -16.06940       8.58700
     -16.03940       7.70400
     -16.00940       7.16400
     -15.97940       6.29700
     -15.94840       5.75100
     -15.91840       6.04000
     -15.88840       6.94400
     -15.85840       7.98000
     -15.82840       8.64100
     -15.79840       8.67400
     -15.76740       8.59200
     -15.73740       8.42500
     -15.70740       7.43700
     -15.67740       6.12900
     -15.64740       5.59900
     -15.61740       6.08800
     -15.58640       7.38000
     -15.55640       8.91600
     -15.52640       9.67500
     -15.49640       9.13000
     -15.46640       8.48500
     -15.43640       9.26700
     -15.40540      11.43000
     -15.37540      12.85000
     -15.34540      11.96000
     -15.31540       9.82900
     -15.28540       7.67200
     -15.25540       5.98900
     -15.22440       5.14400
     -15.19440       4.92400
     -15.16440       5.02700
     -15.13440       5.76300
     -15.10440       7.98100
     -15.07440      11.10000
     -15.04340      12.58000
     -15.01340      11.97000
     -14.98340      11.01000
     -14.95340      11.26000
     -14.92340      13.40000
     -14.89340      15.76000
     -14.86240      16.18000
     -14.83240      14.87000
     -14.80240      12.91000
     -14.77240      10.36000
     -14.74240       7.46800
     -14.71240       5.43300
     -14.68140       4.68800
     -14.65140       4.65900
     -14.62140       5.10200
     -14.59140       6.61100
     -14.56140       9.80800
     -14.53140      12.66000
     -14.50040      11.90000
     -14.47040       8.66400
     -14.44040       5.67200
     -14.41040       3.58800
     -14.38040       2.53300
     -14.35040       2.23200
     -14.31940       2.26900
     -14.28940       2.51100
     -14.25940       3.09700
     -14.22940       4.04600
     -14.19940       4.55400
     -14.16940       4.01300
     -14.13840       3.17100
     -14.10840       2.70500
     -14.07840       2.48700
     -14.04840       2.36100
     -14.01840       2.30000
     -13.98840       2.27700
     -13.95740       2.27300
     -13.92740       2.28400
     -13.89740       2.30500
     -13.86740       2.34300
     -13.83740       2.45400
     -13.80740       2.82900
     -13.77640       3.70100
     -13.74640       5.10100
     -13.71640       6.87000
     -13.68640       8.37000
     -13.65640       9.28500
     -13.62640      10.57000
     -13.59540      12.19000
     -13.56540      12.42000
     -13.53540      11.32000
     -13.50540      11.21000
     -13.47540      13.79000
     -13.44540      17.51000
     -13.41440      17.95000
     -13.38440      14.31000
     -13.35440      10.69000
     -13.32440       9.35000
     -13.29440       9.73000
     -13.26440      11.01000
     -13.23340      12.33000
     -13.20340      12.43000
     -13.17340      11.81000
     -13.14340      11.67000
     -13.11340      11.22000
     -13.08340       9.82800
     -13.05240       8.56200
     -13.02240       8.27100
     -12.99240       8.45700
     -12.96240       8.22000
     -12.93240       8.01900
     -12.90240       9.30700
     -12.87140      11.37000
     -12.84140      11.76000
     -12.81140      10.91000
     -12.78140      10.46000
     -12.75140       9.57700
     -12.72140       7.47200
     -12.69040       5.07500
     -12.66040       3.50900
     -12.63040       3.05900
     -12.60040       3.32600
     -12.57040       4.10800
     -12.54040       5.62000
     -12.50940       7.60600
     -12.47940       8.90200
     -12.44940       8.86900
     -12.41940       7.64200
     -12.38940       5.84700
     -12.35940       4.58300
     -12.32840       4.39200
     -12.29840       5.32900
     -12.26840       6.63100
     -12.23840       6.48900
     -12.20840       5.00400
     -12.17840       4.13800
     -12.14740       4.18900
     -12.11740       4.22500
     -12.08740       4.13200
     -12.05740       4.77500
     -12.02740       7.54500
     -11.99740      12.05000
     -11.96640      14.51000
     -11.93640      13.36000
     -11.90640      11.68000
     -11.87640      12.23000
     -11.84640      14.48000
     -11.81640      15.46000
     -11.78540      13.77000
     -11.75540      11.56000
     -11.72540      10.40000
     -11.69540       9.31000
     -11.66540       7.61100
     -11.63540       5.56000
     -11.60440       3.83800
     -11.57440       3.02500
     -11.54440       2.86500
     -11.51440       2.84900
     -11.48440       2.78900
     -11.45440       2.72500
     -11.42340       2.85100
     -11.39340       3.61700
     -11.36340       5.35600
     -11.33340       7.60100
     -11.30340       9.67100
     -11.27340      10.79000
     -11.24240      10.50000
     -11.21240       9.93800
     -11.18240      10.39000
     -11.15240      12.37000
     -11.12240      14.93000
     -11.09240      15.20000
     -11.06140      12.60000
     -11.03140       9.51900
     -11.00140       7.50300
     -10.97140       6.44100
     -10.94140       5.66800
     -10.91140       5.24100
     -10.88040       5.55700
     -10.85040       6.41900
     -10.82040       7.45700
     -10.79040       8.15800
     -10.76040       7.66500
     -10.73040       6.33500
     -10.69940       5.67400
     -10.66940       6.12400
     -10.63940       7.03000
     -10.60940       8.04400
     -10.57940       9.54400
     -10.54940      11.05000
     -10.51840      11.27000
     -10.48840      11.55000
     -10.45840      13.77000
     -10.42840      16.16000
     -10.39840      15.28000
     -10.36740      11.11000
     -10.33740       7.54700
     -10.30740       6.65600
     -10.27740       7.24300
     -10.24740       7.30700
     -10.21740       6.15100
     -10.18640       5.31200
     -10.15640       6.31000
     -10.12640       7.52500
     -10.09640       6.93400
     -10.06640       5.92200
     -10.03640       6.40800
     -10.00540       7.62500
      -9.97540       7.17500
      -9.94540       5.17500
      -9.91540       3.79800
