      #Energy        TDOS
     -12.58207      11.79000
     -12.55207      11.52000
     -12.52107      10.97000
     -12.49107       9.78900
     -12.46107       8.37600
     -12.43107       7.47400
     -12.40107       7.38300
     -12.37007       7.69200
     -12.34007       7.83400
     -12.31007       7.74000
     -12.28007       7.91600
     -12.25007       9.13900
     -12.22007      11.61000
     -12.18907      13.91000
     -12.15907      14.04000
     -12.12907      11.92000
     -12.09907       9.69800
     -12.06907       9.30000
     -12.03907      10.59000
     -12.00807      12.77000
     -11.97807      16.82000
     -11.94807      20.88000
     -11.91807      18.37000
     -11.88807      10.82000
     -11.85807       6.76000
     -11.82707       7.75500
     -11.79707      11.23000
     -11.76707      16.04000
     -11.73707      20.39000
     -11.70707      20.92000
     -11.67707      17.21000
     -11.64607      12.49000
     -11.61607       9.42100
     -11.58607       8.38300
     -11.55607       8.62000
     -11.52607       9.25100
     -11.49607       9.82600
     -11.46507      10.41000
     -11.43507      11.03000
     -11.40507      11.78000
     -11.37507      13.42000
     -11.34507      15.19000
     -11.31507      15.04000
     -11.28407      14.19000
     -11.25407      14.68000
     -11.22407      16.04000
     -11.19407      17.01000
     -11.16407      17.89000
     -11.13307      18.61000
     -11.10307      17.30000
     -11.07307      14.40000
     -11.04307      12.34000
     -11.01307      11.58000
     -10.98307      10.93000
     -10.95207      10.10000
     -10.92207       9.76300
     -10.89207       9.35400
     -10.86207       8.81100
     -10.83207       9.89100
     -10.80207      12.39000
     -10.77107      13.38000
     -10.74107      11.93000
     -10.71107      10.38000
     -10.68107      10.44000
     -10.65107      11.28000
     -10.62107      11.28000
     -10.59007       9.90200
     -10.56007       8.13800
     -10.53007       7.58600
     -10.50007       9.05100
     -10.47007      12.18000
     -10.44007      14.98000
     -10.40907      14.41000
     -10.37907      10.85000
     -10.34907       7.86800
     -10.31907       7.05900
     -10.28907       7.65000
     -10.25907       8.66600
     -10.22807      10.17000
     -10.19807      11.75000
     -10.16807      12.55000
     -10.13807      12.93000
     -10.10807      13.58000
     -10.07807      14.42000
     -10.04707      14.77000
     -10.01707      14.63000
      -9.98707      14.52000
      -9.95707      13.46000
      -9.92707      10.89000
      -9.89607       9.07600
      -9.86607       9.47200
      -9.83607      11.09000
      -9.80607      12.16000
      -9.77607      11.68000
      -9.74607      10.49000
      -9.71507       9.62700
      -9.68507       9.38300
      -9.65507      10.48000
      -9.62507      12.66000
      -9.59507      13.94000
      -9.56507      14.19000
      -9.53407      14.55000
      -9.50407      15.05000
      -9.47407      15.58000
      -9.44407      16.55000
      -9.41407      17.78000
      -9.38407      17.87000
      -9.35307      15.30000
      -9.32307      12.19000
      -9.29307      13.67000
      -9.26307      19.11000
      -9.23307      21.02000
      -9.20307      16.98000
      -9.17207      12.28000
      -9.14207       9.42000
      -9.11207       7.96000
      -9.08207       7.66300
      -9.05207       8.46800
      -9.02207      10.64000
      -8.99107      13.26000
      -8.96107      14.80000
      -8.93107      15.19000
      -8.90107      15.07000
      -8.87107      15.34000
      -8.84007      16.03000
      -8.81007      15.33000
      -8.78007      13.02000
      -8.75007      10.95000
      -8.72007      10.08000
      -8.69007      10.58000
      -8.65907      13.34000
      -8.62907      17.56000
      -8.59907      18.71000
      -8.56907      14.62000
      -8.53907       9.25100
      -8.50907       6.51800
      -8.47807       6.79900
      -8.44807       8.60900
      -8.41807      10.43000
      -8.38807      11.92000
      -8.35807      14.14000
      -8.32807      17.51000
      -8.29707      20.01000
      -8.26707      20.08000
      -8.23707      18.04000
      -8.20707      15.09000
      -8.17707      13.36000
      -8.14707      14.04000
      -8.11607      16.24000
      -8.08607      17.62000
      -8.05607      16.64000
      -8.02607      14.82000
      -7.99607      13.79000
      -7.96607      13.24000
      -7.93507      13.06000
      -7.90507      14.20000
      -7.87507      16.87000
      -7.84507      19.31000
      -7.81507      20.13000
      -7.78507      19.21000
      -7.75407      17.15000
      -7.72407      15.20000
      -7.69407      14.35000
      -7.66407      14.34000
      -7.63407      14.06000
      -7.60307      13.11000
      -7.57307      11.98000
      -7.54307      11.84000
      -7.51307      12.91000
      -7.48307      14.16000
      -7.45307      14.54000
      -7.42207      13.73000
      -7.39207      13.28000
      -7.36207      14.16000
      -7.33207      15.99000
      -7.30207      18.80000
      -7.27207      22.62000
      -7.24107      26.56000
      -7.21107      28.21000
      -7.18107      27.06000
      -7.15107      25.87000
      -7.12107      26.93000
      -7.09107      30.27000
      -7.06007      33.00000
      -7.03007      31.65000
      -7.00007      28.99000
      -6.97007      32.04000
      -6.94007      38.83000
      -6.91007      39.84000
      -6.87907      33.83000
      -6.84907      27.59000
      -6.81907      25.18000
      -6.78907      26.89000
      -6.75907      31.37000
      -6.72907      33.54000
      -6.69807      30.39000
      -6.66807      26.44000
      -6.63807      25.81000
