      #Energy        TDOS
     -23.13712       0.00000
     -23.10612       0.00000
     -23.07512       0.00000
     -23.04312       0.00000
     -23.01212       0.00000
     -22.98112       0.00000
     -22.95012       0.00000
     -22.91912       0.00000
     -22.88812       0.00000
     -22.85712       0.00000
     -22.82612       0.00000
     -22.79512       0.00000
     -22.76412       0.00000
     -22.73312       0.00000
     -22.70212       0.00000
     -22.67112       0.00000
     -22.64012       0.00000
     -22.60912       0.00000
     -22.57812       0.00000
     -22.54712       0.00000
     -22.51612       0.00000
     -22.48412       0.00000
     -22.45312       0.00000
     -22.42212       0.00000
     -22.39112       0.00000
     -22.36012       0.00000
     -22.32912       0.00000
     -22.29812       0.00000
     -22.26712       0.00000
     -22.23612       0.00000
     -22.20512       0.00000
     -22.17412       0.00000
     -22.14312       0.00000
     -22.11212       0.00000
     -22.08112       0.00000
     -22.05012       0.00000
     -22.01912       0.00000
     -21.98812       0.00000
     -21.95712       0.00000
     -21.92512       0.00000
     -21.89412       0.00001
     -21.86312       0.00038
     -21.83212       0.00945
     -21.80112       0.11310
     -21.77012       0.65140
     -21.73912       1.85400
     -21.70812       3.05900
     -21.67712       5.31900
     -21.64612      11.10000
     -21.61512      14.63000
     -21.58412       9.71600
     -21.55312       3.32600
     -21.52212       1.79400
     -21.49112       4.70300
     -21.46012       9.86100
     -21.42912      13.50000
     -21.39812      14.17000
     -21.36612      15.58000
     -21.33512      15.14000
     -21.30412       8.61700
     -21.27312       2.60900
     -21.24212       1.71200
     -21.21112       6.11700
     -21.18012      13.24000
     -21.14912      14.77000
     -21.11812      10.35000
     -21.08712       7.03800
     -21.05612       6.72900
     -21.02512      10.96000
     -20.99412      14.74000
     -20.96312      10.49000
     -20.93212       3.96900
     -20.90112       2.36100
     -20.87012       4.69500
     -20.83912       7.27000
     -20.80712       8.37200
     -20.77612       7.49600
     -20.74512       4.29700
     -20.71412       1.34100
     -20.68312       0.23550
     -20.65212       0.36330
     -20.62112       2.48400
     -20.59012       8.57800
     -20.55912      14.34000
     -20.52812      11.64000
     -20.49712       4.65900
     -20.46612       1.69400
     -20.43512       3.88900
     -20.40412       8.50300
     -20.37312       9.22400
     -20.34212       5.26100
     -20.31112       4.19300
     -20.28012       9.97400
     -20.24812      16.14000
     -20.21712      13.40000
     -20.18612       5.78500
     -20.15512       1.33500
     -20.12412       0.25630
     -20.09312       0.99160
     -20.06212       5.25300
     -20.03112      14.69000
     -20.00012      23.31000
     -19.96912      22.70000
     -19.93812      13.50000
     -19.90712       4.65700
     -19.87612       1.79400
     -19.84512       3.34200
     -19.81412       5.56700
     -19.78312       6.57800
     -19.75212       8.79300
     -19.72112      11.53000
     -19.68912      11.01000
     -19.65812      11.48000
     -19.62712      14.82000
     -19.59612      12.40000
     -19.56512       5.34200
     -19.53412       2.04700
     -19.50312       4.31700
     -19.47212       8.81600
     -19.44112       8.94000
     -19.41012       4.39900
     -19.37912       1.04700
     -19.34812       0.12010
     -19.31712       0.00704
     -19.28612       0.01556
     -19.25512       0.25320
     -19.22412       1.99800
     -19.19312       7.59400
     -19.16212      13.97000
     -19.13012      12.51000
     -19.09912       5.82600
     -19.06812       3.47600
     -19.03712       7.75100
     -19.00612      14.50000
     -18.97512      14.93000
     -18.94412       7.87200
     -18.91312       2.06500
     -18.88212       0.40970
     -18.85112       1.21200
     -18.82012       4.70300
     -18.78912       9.05300
     -18.75812       8.62100
     -18.72712       4.64600
     -18.69612       4.37400
     -18.66512      10.19000
     -18.63412      17.08000
     -18.60312      17.07000
     -18.57112      13.39000
     -18.54012      14.55000
     -18.50912      14.13000
     -18.47812       7.46400
     -18.44712       2.08900
     -18.41612       1.28200
     -18.38512       3.24500
     -18.35412       4.85200
     -18.32312       3.54500
     -18.29212       1.43400
     -18.26112       1.82100
     -18.23012       6.70900
     -18.19912      13.47000
     -18.16812      13.15000
     -18.13712       6.23200
     -18.10612       1.56500
     -18.07512       1.63600
     -18.04412       7.62800
     -18.01212      19.33000
     -17.98112      24.94000
     -17.95012      18.65000
     -17.91912      11.41000
     -17.88812       6.66100
     -17.85712       3.92400
     -17.82612       6.87800
     -17.79512      13.36000
     -17.76412      13.74000
     -17.73312       8.33900
     -17.70212       5.71500
     -17.67112       4.81800
     -17.64012       2.52800
     -17.60912       0.88930
     -17.57812       1.86300
     -17.54712       6.66800
     -17.51612      12.83000
     -17.48512      13.84000
     -17.45412      10.07000
     -17.42212       8.37600
     -17.39112      12.94000
     -17.36012      18.55000
     -17.32912      19.98000
     -17.29812      17.32000
     -17.26712       9.86600
     -17.23612       3.00900
     -17.20512       0.45420
     -17.17412       0.03311
     -17.14312       0.00133
     -17.11212       0.00734
     -17.08112       0.14260
     -17.05012       1.33000
     -17.01912       5.96800
     -16.98812      12.95000
     -16.95712      13.64000
     -16.92612       6.96000
     -16.89512       1.71900
     -16.86312       0.20670
     -16.83212       0.06904
     -16.80112       0.73560
     -16.77012       4.65300
     -16.73912      14.85000
     -16.70812      24.71000
     -16.67712      22.71000
     -16.64612      12.57000
     -16.61512       4.46600
     -16.58412       1.02700
     -16.55312       0.72800
     -16.52212       3.77400
     -16.49112      11.57000
     -16.46012      18.07000
     -16.42912      14.81000
     -16.39812       6.56100
     -16.36712       1.59700
     -16.33612       0.32310
     -16.30412       1.21100
     -16.27312       6.27500
     -16.24212      17.44000
     -16.21112      27.49000
     -16.18012      26.12000
     -16.14912      15.18000
     -16.11812       5.29900
     -16.08712       1.72900
     -16.05612       3.57600
     -16.02512       8.19500
     -15.99412       9.37700
     -15.96312       5.21100
     -15.93212       1.42600
     -15.90112       0.45600
     -15.87012       1.49600
     -15.83912       4.05500
     -15.80812       6.82100
     -15.77712      11.39000
     -15.74512      18.32000
     -15.71412      17.87000
     -15.68312       8.92000
     -15.65212       2.69600
     -15.62112       3.61200
     -15.59012      10.53000
     -15.55912      16.36000
     -15.52812      12.95000
     -15.49712       5.95500
     -15.46612       3.90600
     -15.43512       5.47600
     -15.40412       5.81400
     -15.37312       4.26600
     -15.34212       3.49000
     -15.31112       7.08800
     -15.28012      13.45000
     -15.24912      13.31000
     -15.21812       6.89400
     -15.18612       4.31600
     -15.15512       7.68100
     -15.12412       9.85200
     -15.09312       7.75200
     -15.06212       8.85000
     -15.03112      13.94000
     -15.00012      12.91000
     -14.96912       5.92100
     -14.93812       1.54400
     -14.90712       1.18600
     -14.87612       2.20600
     -14.84512       2.23900
     -14.81412       1.10600
     -14.78312       0.28030
     -14.75212       0.23340
     -14.72112       1.21400
     -14.69012       3.53500
     -14.65912       5.50100
     -14.62712       7.05800
     -14.59612      11.72000
     -14.56512      14.80000
     -14.53412      10.46000
     -14.50312       7.12200
     -14.47212      10.36000
     -14.44112      11.89000
     -14.41012       7.28000
     -14.37912       4.53200
     -14.34812       9.00800
     -14.31712      14.54000
     -14.28612      12.79000
     -14.25512      10.33000
     -14.22412      13.72000
     -14.19312      13.92000
     -14.16212       8.42600
     -14.13112       7.82000
     -14.10012      13.24000
     -14.06812      13.59000
     -14.03712       6.86500
     -14.00612       1.68200
     -13.97512       0.26170
     -13.94412       0.75780
     -13.91312       4.23900
     -13.88212      11.97000
     -13.85112      17.76000
     -13.82012      15.85000
     -13.78912      10.94000
     -13.75812       6.69800
     -13.72712       4.20700
     -13.69612       6.99100
     -13.66512      13.32000
     -13.63412      13.39000
     -13.60312       6.56900
     -13.57212       1.65500
     -13.54112       1.19000
     -13.50912       5.05900
     -13.47812      12.35000
     -13.44712      15.54000
     -13.41612      11.76000
     -13.38512       7.03100
     -13.35412       3.31700
     -13.32312       0.93670
     -13.29212       0.13760
     -13.26112       0.05877
     -13.23012       0.45560
     -13.19912       2.02700
     -13.16812       4.45200
     -13.13712       5.61500
     -13.10612       7.56800
     -13.07512      12.96000
     -13.04412      14.68000
     -13.01312      11.69000
     -12.98212      15.56000
     -12.95012      23.33000
     -12.91912      19.84000
     -12.88812       8.53700
     -12.85712       1.82800
     -12.82612       0.19290
     -12.79512       0.01190
     -12.76412       0.04731
     -12.73312       0.53640
     -12.70212       3.00600
     -12.67112       8.77000
     -12.64012      15.25000
     -12.60912      18.61000
     -12.57812      15.61000
     -12.54712       7.57900
     -12.51612       1.89400
     -12.48512       0.23210
     -12.45412       0.01404
     -12.42312       0.01337
     -12.39112       0.23690
     -12.36012       2.07500
     -12.32912       8.82100
     -12.29812      18.80000
     -12.26712      22.65000
     -12.23612      21.00000
     -12.20512      17.77000
     -12.17412      10.80000
     -12.14312       4.07700
     -12.11212       0.95870
     -12.08112       0.29200
     -12.05012       1.45600
     -12.01912       6.28000
     -11.98812      13.19000
     -11.95712      13.50000
     -11.92612       7.35100
     -11.89512       5.61900
     -11.86412      11.17000
     -11.83212      14.52000
     -11.80112       9.33600
     -11.77012       3.41900
     -11.73912       3.40600
     -11.70812       8.46500
     -11.67712      14.25000
     -11.64612      18.32000
     -11.61512      18.25000
     -11.58412      11.33000
     -11.55312       4.00800
     -11.52212       1.76100
     -11.49112       3.54500
     -11.46012       6.48100
     -11.42912       7.67000
     -11.39812       7.15900
     -11.36712       5.86800
     -11.33612       4.06300
     -11.30512       4.07300
     -11.27312       4.97000
     -11.24212       3.56200
     -11.21112       1.29200
     -11.18012       0.65740
     -11.14912       3.10300
     -11.11812      10.64000
     -11.08712      18.42000
     -11.05612      17.18000
     -11.02512      12.87000
     -10.99412      15.24000
     -10.96312      17.26000
     -10.93212      14.32000
     -10.90112      14.52000
     -10.87012      14.85000
     -10.83912       9.41300
     -10.80812       6.18500
     -10.77712       8.74400
     -10.74612       9.28500
     -10.71412       4.95700
     -10.68312       1.28400
     -10.65212       0.18320
     -10.62112       0.30770
     -10.59012       2.05900
     -10.55912       8.05200
     -10.52812      18.47000
     -10.49712      25.69000
     -10.46612      24.90000
     -10.43512      20.53000
     -10.40412      13.44000
     -10.37312       6.07900
     -10.34212       2.44900
     -10.31112       2.84500
     -10.28012       4.67900
     -10.24912       4.18200
     -10.21812       1.82800
     -10.18712       0.45380
     -10.15512       0.82030
     -10.12412       4.27400
     -10.09312      11.28000
     -10.06212      14.44000
     -10.03112       8.96800
     -10.00012       2.69700
      -9.96912       0.39130
      -9.93812       0.03275
      -9.90712       0.10750
      -9.87612       1.00900
      -9.84512       4.89000
      -9.81412      13.06000
      -9.78312      21.04000
      -9.75212      21.31000
      -9.72112      14.33000
      -9.69012      11.53000
      -9.65912      17.22000
      -9.62812      23.20000
      -9.59612      25.88000
      -9.56512      26.33000
      -9.53412      23.52000
      -9.50312      16.08000
      -9.47212       8.19000
      -9.44112       6.20800
      -9.41012       9.11800
      -9.37912       8.97600
      -9.34812       4.41700
      -9.31712       1.08000
      -9.28612       0.40950
      -9.25512       1.52700
      -9.22412       3.88100
      -9.19312       4.92700
      -9.16212       4.03800
      -9.13112       5.98700
      -9.10012      13.00000
      -9.06912      18.65000
      -9.03712      17.14000
      -9.00612      16.85000
      -8.97512      24.69000
      -8.94412      28.15000
      -8.91312      18.12000
      -8.88212       6.15500
      -8.85112       1.09500
      -8.82012       0.44110
      -8.78912       2.50700
      -8.75812       8.86300
      -8.72712      16.49000
      -8.69612      19.55000
      -8.66512      18.68000
      -8.63412      13.07000
      -8.60312       5.19500
      -8.57212       1.08900
      -8.54112       0.68760
      -8.51012       3.54600
      -8.47812      10.90000
      -8.44712      17.60000
      -8.41612      18.30000
      -8.38512      21.25000
      -8.35412      26.97000
      -8.32312      25.12000
      -8.29212      20.30000
      -8.26112      16.07000
      -8.23012       9.09400
      -8.19912       5.70600
      -8.16812       9.48200
      -8.13712      14.85000
      -8.10612      18.78000
      -8.07512      23.64000
      -8.04412      33.60000
      -8.01312      47.60000
      -7.98212      47.24000
      -7.95112      27.37000
      -7.91912       9.93500
      -7.88812       7.63800
      -7.85712      13.36000
      -7.82612      14.08000
      -7.79512       9.71300
      -7.76412      11.10000
      -7.73312      19.38000
      -7.70212      25.92000
      -7.67112      24.74000
      -7.64012      18.37000
      -7.60912      16.53000
      -7.57812      21.81000
      -7.54712      22.24000
      -7.51612      14.91000
      -7.48512      10.14000
      -7.45412      12.65000
      -7.42312      21.99000
      -7.39212      36.67000
      -7.36012      53.33000
      -7.32912      56.97000
      -7.29812      42.11000
      -7.26712      29.86000
      -7.23612      26.48000
      -7.20512      18.31000
      -7.17412       7.78100
      -7.14312       5.15400
      -7.11212      10.32000
      -7.08112      16.64000
      -7.05012      16.03000
      -7.01912      10.55000
      -6.98812      11.21000
      -6.95712      16.39000
      -6.92612      15.20000
      -6.89512      11.37000
      -6.86412      14.22000
      -6.83312      18.16000
      -6.80112      16.80000
      -6.77012      16.56000
      -6.73912      20.50000
      -6.70812      22.39000
      -6.67712      19.83000
      -6.64612      16.64000
      -6.61512      16.45000
      -6.58412      13.01000
      -6.55312       7.38600
      -6.52212      11.02000
      -6.49112      25.56000
      -6.46012      34.08000
      -6.42912      25.34000
      -6.39812      13.28000
      -6.36712      11.35000
      -6.33612      21.10000
      -6.30512      29.57000
      -6.27412      24.56000
      -6.24212      18.02000
      -6.21112      20.41000
      -6.18012      23.23000
      -6.14912      17.69000
      -6.11812       8.89000
      -6.08712       7.04800
      -6.05612      15.36000
      -6.02512      27.74000
      -5.99412      34.52000
      -5.96312      31.93000
      -5.93212      22.85000
      -5.90112      13.91000
      -5.87012       9.98400
      -5.83912      10.88000
      -5.80812      13.38000
      -5.77712      15.53000
      -5.74612      17.18000
      -5.71512      13.89000
      -5.68412       7.69900
      -5.65212       4.29200
      -5.62112       3.08300
      -5.59012       1.97700
      -5.55912       2.45100
      -5.52812       8.43100
      -5.49712      20.22000
      -5.46612      30.07000
      -5.43512      35.70000
      -5.40412      40.98000
      -5.37312      37.00000
      -5.34212      26.38000
      -5.31112      22.44000
      -5.28012      17.76000
      -5.24912       9.37200
      -5.21812       7.01400
      -5.18712      13.84000
      -5.15612      24.98000
      -5.12512      28.67000
      -5.09312      21.58000
      -5.06212      17.13000
      -5.03112      21.43000
      -5.00012      22.68000
      -4.96912      18.31000
      -4.93812      20.15000
      -4.90712      25.51000
      -4.87612      27.71000
      -4.84512      29.04000
      -4.81412      29.51000
      -4.78312      30.20000
      -4.75212      27.01000
      -4.72112      15.72000
      -4.69012       5.05100
      -4.65912       0.84310
      -4.62812       0.07473
      -4.59712       0.09025
      -4.56612       1.02500
      -4.53412       6.21400
      -4.50312      20.32000
      -4.47212      37.07000
      -4.44112      38.09000
      -4.41012      22.95000
      -4.37912      10.46000
      -4.34812       5.43400
      -4.31712       4.10500
      -4.28612       4.91200
      -4.25512       4.31600
      -4.22412       1.94700
      -4.19312       0.43520
      -4.16212       0.19790
      -4.13112       1.45600
      -4.10012       6.80300
      -4.06912      16.43000
      -4.03812      23.52000
      -4.00712      26.40000
      -3.97512      28.25000
      -3.94412      25.50000
      -3.91312      15.50000
      -3.88212       5.78300
      -3.85112       2.57200
      -3.82012       3.08800
      -3.78912       4.36500
      -3.75812       6.84000
      -3.72712      10.10000
      -3.69612      11.53000
      -3.66512       8.24600
      -3.63412       3.15900
      -3.60312       0.60540
      -3.57212       0.07393
      -3.54112       0.30560
      -3.51012       2.59000
      -3.47912      11.11000
      -3.44812      24.21000
      -3.41612      27.01000
      -3.38512      15.43000
      -3.35412       4.48700
      -3.32312       0.65570
      -3.29212       0.04748
      -3.26112       0.00168
      -3.23012       0.00003
      -3.19912       0.00035
      -3.16812       0.01257
      -3.13712       0.21670
      -3.10612       1.79000
      -3.07512       7.12600
      -3.04412      13.73000
      -3.01312      12.83000
      -2.98212       5.81500
      -2.95112       1.27500
      -2.92012       0.13490
      -2.88912       0.01746
      -2.85712       0.14770
      -2.82612       0.98550
      -2.79512       3.27400
      -2.76412       6.06700
      -2.73312       8.50400
      -2.70212      11.04000
      -2.67112      12.00000
      -2.64012      13.75000
      -2.60912      15.54000
      -2.57812      11.81000
      -2.54712       9.58700
      -2.51612      13.66000
      -2.48512      14.62000
      -2.45412      11.96000
      -2.42312      14.98000
      -2.39212      18.28000
      -2.36112      13.33000
      -2.33012       6.73300
      -2.29812       8.06200
      -2.26712      17.25000
      -2.23612      22.51000
      -2.20512      15.98000
      -2.17412       6.22400
      -2.14312       1.75400
      -2.11212       1.86400
      -2.08112       4.04800
      -2.05012       9.18600
      -2.01912      17.79000
      -1.98812      21.59000
      -1.95712      15.42000
      -1.92612       6.54500
