#K-Path      Energy-Level
# NKPTS & NBANDS:  12 136
# Band-Index    1
   0.09309    -16.102520
   0.18619    -16.476496
   0.27928    -16.691846
   0.27928    -16.691846
   0.35990    -16.706898
   0.44052    -16.668841
   0.44052    -16.668841
   0.52114    -16.526534
   0.60176    -16.276425
   0.68239    -16.003479
   0.76301    -15.828758
 
 
# Band-Index   22
   0.76301    -15.754226
   0.68239    -15.884893
   0.60176    -16.200596
   0.52114    -16.383612
   0.44052    -16.445796
   0.44052    -16.445796
   0.35990    -16.278256
   0.27928    -16.441001
   0.27928    -16.441001
   0.18619    -16.236736
   0.09309    -15.910582
   0.00000    -15.754226
 
 
# Band-Index   23
   0.00000    -15.754150
   0.09309    -15.878186
   0.18619    -16.202422
   0.27928    -16.148172
   0.27928    -16.148172
   0.35990    -16.201650
   0.44052    -16.175486
   0.44052    -16.175486
   0.52114    -16.244906
   0.60176    -16.118712
   0.68239    -15.865052
   0.76301    -15.754150
 
 
# Band-Index   24
   0.76301    -15.546235
   0.68239    -15.640678
   0.60176    -15.790643
   0.52114    -15.920861
   0.44052    -16.020039
   0.44052    -16.020039
   0.35990    -16.123165
   0.27928    -15.805077
   0.27928    -15.805077
   0.18619    -15.741906
   0.09309    -15.668454
   0.00000    -15.546235
 
 
# Band-Index   25
   0.00000    -15.442374
   0.09309    -15.461912
   0.18619    -15.573551
   0.27928    -15.763526
   0.27928    -15.763526
   0.35990    -15.756816
   0.44052    -16.018481
   0.44052    -16.018481
   0.52114    -15.870926
   0.60176    -15.613932
   0.68239    -15.471986
   0.76301    -15.442374
 
 
# Band-Index   26
   0.76301    -15.441380
   0.68239    -15.404081
   0.60176    -15.208400
   0.52114    -15.133022
   0.44052    -15.145021
   0.44052    -15.145021
   0.35990    -15.242665
   0.27928    -15.212604
   0.27928    -15.212604
   0.18619    -15.280190
   0.09309    -15.403415
   0.00000    -15.441380
 
 
# Band-Index   27
   0.00000    -15.390460
   0.09309    -14.977525
   0.18619    -15.034308
   0.27928    -15.102015
   0.27928    -15.102015
   0.35990    -14.890376
   0.44052    -15.144576
   0.44052    -15.144576
   0.52114    -15.019365
   0.60176    -14.892593
   0.68239    -15.065823
   0.76301    -15.390460
 
 
# Band-Index   28
   0.76301    -14.875261
   0.68239    -14.734489
   0.60176    -14.702164
   0.52114    -14.702538
   0.44052    -14.463265
   0.44052    -14.463265
   0.35990    -14.831268
   0.27928    -14.588443
   0.27928    -14.588443
   0.18619    -14.583162
   0.09309    -14.836797
   0.00000    -14.875261
 
 
# Band-Index   29
   0.00000    -14.675787
   0.09309    -14.523027
   0.18619    -14.326740
   0.27928    -14.258729
   0.27928    -14.258729
   0.35990    -14.166589
   0.44052    -14.462407
   0.44052    -14.462407
   0.52114    -14.356722
   0.60176    -14.555476
   0.68239    -14.682027
   0.76301    -14.675787
 
 
# Band-Index   30
   0.76301    -14.675062
   0.68239    -14.434989
   0.60176    -14.175105
   0.52114    -13.842770
   0.44052    -13.785649
   0.44052    -13.785649
   0.35990    -13.933634
   0.27928    -14.090399
   0.27928    -14.090399
   0.18619    -14.220948
   0.09309    -14.439299
   0.00000    -14.675062
 
 
# Band-Index   31
   0.00000    -14.471190
   0.09309    -14.376112
   0.18619    -14.098049
   0.27928    -13.921560
   0.27928    -13.921560
   0.35990    -13.876459
   0.44052    -13.470930
   0.44052    -13.470930
   0.52114    -13.786854
   0.60176    -14.021331
   0.68239    -14.402181
   0.76301    -14.471190
 
 
# Band-Index   32
   0.76301    -13.829436
   0.68239    -13.943303
   0.60176    -13.919098
   0.52114    -13.705930
   0.44052    -13.470360
   0.44052    -13.470360
   0.35990    -13.447086
   0.27928    -13.614286
   0.27928    -13.614286
   0.18619    -13.870833
   0.09309    -13.947132
   0.00000    -13.829436
 
 
# Band-Index   33
   0.00000    -13.829012
   0.09309    -13.939677
   0.18619    -13.664330
   0.27928    -13.300022
   0.27928    -13.300022
   0.35990    -13.359334
   0.44052    -13.405405
   0.44052    -13.405405
   0.52114    -13.468655
   0.60176    -13.859514
   0.68239    -13.919444
   0.76301    -13.829012
 
 
# Band-Index   34
   0.76301    -13.474563
   0.68239    -13.343423
   0.60176    -13.143037
   0.52114    -13.023919
   0.44052    -13.166226
   0.44052    -13.166226
   0.35990    -13.200490
   0.27928    -13.152146
   0.27928    -13.152146
   0.18619    -13.069655
   0.09309    -13.319848
   0.00000    -13.474563
 
 
# Band-Index   35
   0.00000    -13.473836
   0.09309    -13.242587
   0.18619    -12.950631
   0.27928    -12.863259
   0.27928    -12.863259
   0.35990    -12.784555
   0.44052    -12.967763
   0.44052    -12.967763
   0.52114    -12.943783
   0.60176    -13.015237
   0.68239    -13.293519
   0.76301    -13.473836
 
 
# Band-Index   36
   0.76301    -12.187029
   0.68239    -12.088432
   0.60176    -12.538826
   0.52114    -12.752873
   0.44052    -12.967160
   0.44052    -12.967160
   0.35990    -12.764483
   0.27928    -12.683561
   0.27928    -12.683561
   0.18619    -12.604920
   0.09309    -12.054590
   0.00000    -12.187029
 
 
# Band-Index   37
   0.00000    -11.611004
   0.09309    -12.051284
   0.18619    -12.299845
   0.27928    -12.447496
   0.27928    -12.447496
   0.35990    -12.722811
   0.44052    -12.661261
   0.44052    -12.661261
   0.52114    -12.658096
   0.60176    -12.227853
   0.68239    -11.950733
   0.76301    -11.611004
 
 
# Band-Index   38
   0.76301    -11.483124
   0.68239    -11.762865
   0.60176    -12.036133
   0.52114    -12.565419
   0.44052    -12.660249
   0.44052    -12.660249
   0.35990    -12.582458
   0.27928    -12.440096
   0.27928    -12.440096
   0.18619    -12.228755
   0.09309    -11.781612
   0.00000    -11.483124
 
 
# Band-Index   39
   0.00000    -11.450283
   0.09309    -11.665865
   0.18619    -11.987413
   0.27928    -12.421566
   0.27928    -12.421566
   0.35990    -12.331600
   0.44052    -12.296220
   0.44052    -12.296220
